Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
DL Chahar,3,0,37,0,12.33,8,5,2,1,0
Harbhajan Singh,4,0,41,1,10.25,8,5,2,0,0
SN Thakur,3,0,33,2,11.00,4,3,1,0,0
Imran Tahir,4,0,34,2,8.50,11,3,2,0,0
SR Watson,2,0,15,1,7.50,3,0,1,0,0
DJ Bravo,4,0,37,1,9.25,4,3,1,0,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
BB Sran,4,0,37,0,9.25,10,1,2,4,0
MM Sharma,4,0,47,1,11.75,8,5,3,1,0
AJ Tye,4,0,47,2,11.75,5,5,2,1,0
Mujeeb Ur Rahman,3,0,18,0,6.00,5,1,0,0,0
R Ashwin,4,0,32,1,8.00,6,2,1,2,0
Yuvraj Singh,1,0,10,0,10.00,0,1,0,1,0

