Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
K Gowtham,3,0,28,0,9.33,2,4,0,0,0
Ankit Sharma,1,0,11,0,11.00,1,2,0,0,0
JC Archer,4,0,42,2,10.50,5,4,0,5,1
BA Stokes,4,0,31,0,7.75,7,4,0,1,0
JD Unadkat,4,0,34,0,8.50,8,0,2,4,0
IS Sodhi,4,0,29,1,7.25,8,0,2,0,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
DJ Willey,4,0,47,1,11.75,5,5,2,1,0
Harbhajan Singh,2,0,29,1,14.50,5,4,2,0,0
RA Jadeja,4,0,28,1,7.00,8,3,0,0,0
SN Thakur,4,0,22,1,5.50,14,3,0,1,0
KV Sharma,1,0,10,0,10.00,2,1,0,0,0
DJ Bravo,3.5,0,31,1,8.08,10,1,2,0,0
SR Watson,1,0,9,0,9.00,0,1,0,0,0

