Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
AS Rajpoot,4,0,14,5,3.50,17,2,0,0,0
BB Sran,3,0,27,0,9.00,9,5,0,0,1
R Ashwin,4,0,34,0,8.50,8,1,2,0,0
MK Tiwary,1,0,10,0,10.00,0,0,0,1,0
Mujeeb Ur Rahman,4,0,17,1,4.25,11,0,0,1,0
AJ Tye,4,0,28,0,7.00,8,3,0,0,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
Sandeep Sharma,4,0,17,2,4.25,13,2,0,0,0
Mohammad Nabi,2,0,24,0,12.00,4,2,2,0,0
S Kaul,4,0,25,0,6.25,9,3,0,0,0
Basil Thampi,2.2,0,14,2,6.00,6,0,1,0,0
Rashid Khan,4,0,19,3,4.75,11,2,0,0,0
Shakib Al Hasan,3,0,18,2,6.00,7,0,1,0,0

