Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
B Kumar,3,0,22,1,7.33,9,1,2,0,0
B Stanlake,4,0,38,0,9.50,12,4,2,2,0
Shakib Al Hasan,4,0,32,0,8.00,5,2,1,1,0
S Kaul,4,0,33,0,8.25,7,5,0,1,0
Rashid Khan,4,0,49,1,12.25,5,5,3,0,0
DJ Hooda,1,0,8,0,8.00,1,1,0,0,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
DL Chahar,4,1,15,3,3.75,17,1,1,0,0
SN Thakur,4,0,45,1,11.25,9,4,3,1,0
SR Watson,2,0,23,0,11.50,2,1,1,0,0
RA Jadeja,4,0,28,0,7.00,6,1,1,1,0
KV Sharma,3,0,30,1,10.00,5,0,3,0,0
DJ Bravo,3,0,37,1,12.33,5,2,3,0,0

