Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
Shivam Mavi,4,0,33,1,8.25,9,2,2,1,0
M Prasidh Krishna,4,0,56,0,14.00,5,4,4,3,0
AD Russell,1,0,9,0,9.00,3,2,0,0,0
SP Narine,4,0,24,1,6.00,7,2,0,0,0
PP Chawla,3,0,22,1,7.33,8,4,0,0,0
Kuldeep Yadav,4,0,29,2,7.25,7,2,1,0,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
B Kumar,4,0,38,0,9.50,9,6,1,0,0
KK Ahmed,3,0,38,0,12.66,7,2,4,1,0
S Kaul,4,0,32,2,8.00,7,1,2,0,0
Rashid Khan,4,0,19,3,4.75,12,2,0,0,0
CR Brathwaite,2,0,15,2,7.50,6,3,0,0,0
Shakib Al Hasan,3,0,16,1,5.33,6,1,0,0,0

