Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
AS Rajpoot,3,0,32,0,10.66,6,4,1,2,0
Mujeeb Ur Rahman,4,0,32,1,8.00,9,5,0,1,0
BB Sran,4,0,50,2,12.50,7,5,3,2,0
AJ Tye,4,0,30,2,7.50,9,2,1,1,1
R Ashwin,4,0,33,1,8.25,5,3,0,1,0
Yuvraj Singh,1,0,13,0,13.00,0,2,0,0,0

Bowling,O,M,R,W,Econ,0s,4s,6s,WD,NB
Shivam Mavi,3,0,29,0,9.66,8,4,1,2,0
AD Russell,1.5,0,31,0,16.90,2,4,2,0,0
N Rana,0.1,0,0,0,0.00,1,0,0,0,0
SP Narine,3,0,23,1,7.66,9,3,1,0,0
PP Chawla,2,0,24,0,12.00,4,2,2,0,0
Kuldeep Yadav,1,0,13,0,13.00,1,1,1,0,0
TK Curran,0.1,0,6,0,36.00,0,0,1,0,0

