BATSMEN,,R,B,4s,6s,SR

CA Lynn, b Jadeja,22,16,4,0,137.50
SP Narine,c Raina b Harbhajan Singh,12,4,0,2,300.00
RV Uthappa,run out (Raina),29,16,2,3,181.25
N Rana,c †Dhoni b Watson,16,14,2,0,114.28
KD Karthik (c) †,lbw b Watson,26,25,2,1,104.00
RK Singh,c Bravo b Thakur,2,4,0,0,50.00
AD Russell,not out,88,36,1,11,244.44
TK Curran,not out,2,5,0,0,40.00
BATSMEN,,R,B,4s,6s,SR

SR Watson,c Singh b Curran,42,19,3,3,221.05
AT Rayudu,c sub (Shivam Mavi) b Kuldeep Yadav,39,26,3,2,150.00
SK Raina,c Vinay Kumar b Narine,14,12,0,1,116.66
MS Dhoni (c) †,c †Karthik b Chawla,25,28,1,1,89.28
SW Billings,c Uthappa b Curran,56,23,2,5,243.47
RA Jadeja,not out,11,7,0,1,157.14
DJ Bravo,not out,11,5,0,1,220.00
